Variable / Field Name,Form Name,Section Header,Auto extraction,Manual extraction,Needs a review,Num_BCH_MIS_C_Patients (out of 49),concept_cd,concept_desc, concept_path,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
echo_aortic_stj,local_echocardiogram,,,Notes,,,,,,radio,Aortic sinotubular junction (STJ) visualized and able to measure,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_aortic_stj_d,local_echocardiogram,,,Notes,,,,,,text,Aortic STJ ,,mm,number,4,50,,"[echo_aortic_stj] = ""1""",Y,,,,,
echo_ascending_aorta,local_echocardiogram,,,Notes,,,,,,radio,Ascending aorta visualized and able to measure,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_ascending_aorta_d,local_echocardiogram,,,Notes,,,,,,text,Ascending aorta ,,mm,number,4,50,,"[echo_ascending_aorta] = ""1""",Y,,,,,
timept_code,local_echocardiogram,For data management use only,N/A, ,,,,,,calc,Time point code,"if([echo_taken]=""1"",""01"",(if([echo_taken]=""2"",""02"",(if([echo_taken]=""3"",""03"",(if([echo_taken]=""4"",""04"",(if([echo_taken]=""5"",""05"",(if([echo_taken]=""6"",""06"",(if([echo_taken]=""7"",""07"",(if([echo_taken]=""8"",""08"",(if([echo_taken]=""9"",""09"",[echo_taken])))))))))))))))))",,,,,,,,,,,,
echo_age,local_echocardiogram,,Yes,,,47,,,,calc,Age at time of echo,"rounddown(datediff([day_1_arm_1][dob], [echo_date], 'y'))",,,,,,,,,,,,
ekg_na,electrocardiogram,,N/A,,,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[day_1_arm_1][elig] <> ""1""",,LV,,,,
ekg_yn,electrocardiogram,"INSTRUCTIONS: For Day 1 visit, please enter the ECG at admission/first obtained during hospitalization. For hospital discharge visit, please enter the ECG closest to discharge. If any other intermediate ECGs obtained during initial hospitalization show new or worsening abnormalities, please enter them as well and choose the visit closest to when they were performed.

If an ECG was obtained during a hospital re-admission within 6 months of initial hospital discharge, please enter the ECG with new or worse findings. ",Yes,,,48,"CPT4:93010
CPT4:93000
CPT4:93005
CPT4:93042","CPT4:93010	Electrocardiogram, routine ECG with at least 12 leads; interpretation and report only
CPT4:93000	Electrocardiogram, routine ECG with at least 12 leads; with interpretation and report
CPT4:93005	Electrocardiogram, routine ECG with at least 12 leads; tracing only, without interpretation and report
CPT4:93042	Rhythm ECG, one to three leads; interpretation and report only","\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93000-93278) Cardiography\(93010) Electrocardiogram, routin~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93000-93278) Cardiography\(93000) Electrocardiogram, routin~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93000-93278) Cardiography\(93005) Electrocardiogram, routin~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93000-93278) Cardiography\(93042) Rhythm ECG, one to three ~\",radio,Was an electrocardiogram performed?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
ekg_date,electrocardiogram,,Yes,,,,,,,text,Date of electrocardiogram,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,3/1/20,,,"[ekg_yn] = ""1""",Y,,,,,
ekg_visit,electrocardiogram,,Yes,,,,,,,radio,ECG obtained closest to the following visit:,"1, Day 1 | 2, Hospital discharge | 3, 2 Weeks Post Discharge | 4, 6 Weeks Post Discharge | 5, 6 Months Post Discharge | 25, Hospital Re-Admission within 6 months of initial hospital discharge",,,,,,"[ekg_yn] = ""1""",Y,,,,,
ekg_reason,electrocardiogram,,,Notes,,,,,,checkbox,ECG obtained as part of (choose all that apply),"1, Evaluation during the MIS-C hospitalization | 2, Routine follow-up for MIS-C | 3, Routine follow-up for condition other than MIS-C | 4, Evaluation of symptoms (chest pain, palpitations, syncope, etc) | 5, Pre-medication evaluation | 6, Post-medication evaluation | 7, Other",,,,,,"[ekg_yn] = ""1""",Y,,,,,
ekg_reason_other,electrocardiogram,,,Notes,,,,,,text,"Other, specify",,,,,,,"[ekg_reason(7)] = ""1""",Y,,,,,
ekg_rsch_or_clin,electrocardiogram,,,Notes,,,,,,radio,Was the ECG obtained as part of research or clinical care?,"1, Research | 2, Clinical Care",,,,,,"[ekg_yn] = ""1""",Y,RH,,,,
ekg_heartrate,electrocardiogram,Please complete intervals on ECG: ,,,There is a vital code for this but there is no code that is related to electrocardogram.,,,,,text,Heart rate (bpm),,bpm,integer,35,190,,"[ekg_yn] = ""1""",Y,,,,,
ekg_pr_interval,electrocardiogram,,,Notes,,,,,,text,PR interval (msec),,msec,number,56,226,,"[ekg_yn] = ""1""",Y,,,,,
ekg_qrs_interval,electrocardiogram,,,Notes,,,,,,text,QRS interval (msec),,msec,number,42,124,,"[ekg_yn] = ""1""",Y,,,,,
ekg_qt_interval,electrocardiogram,,,Notes,,,,,,text,QT interval (msec),,msec,number,204,470,,"[ekg_yn] = ""1""",Y,,,,,
ekg_qtc_interval,electrocardiogram,,,Notes,,,,,,text,QTc interval (msec),,msec,number,360,480,,"[ekg_yn] = ""1""",Y,,,,,
ekg_normal,electrocardiogram,ECG Results,Yes,,It is possible to say if it is abnormal electrocardiogram but not in details,,,,,radio,"Is this a normal ECG for age (normal sinus rhythm, normal axis, normal intervals, no evidence of chamber enlargement or hypertrophy)?","1, Yes | 0, No",,,,,,"[ekg_yn] = ""1""",Y,RH,,,,
ekg_rhythm,electrocardiogram,,Yes ,,,29,"ICD10:R00.1, ICD10:R00.0,ICD10:I49.1,ICD10:I47.1,ICD10:I49.8,ICD10:I49.3,ICD10:I47.2","1, ???? ---> Normal sinus rhythm 
2, R00.1 Bradycardia, unspecified --> Sinus bradycardia 
3, R00.0 Tachycardia, unspecified --> Sinus tachycardia 
4, ???? --> Ectopic atrial rhythm (physiologic rates, excluding ectopic atrial tachycardia)
5, I49.1 Atrial premature depolarization --> Premature atrial beats
6, I47.1 Supraventricular tachycardia --> Supraventricular tachycardia
7, I49.8 Other specified cardiac arrhythmias ---> Junctional rhythm
8, I49.3 Ventricular premature depolarization ---> Premature ventricular beats
9, I47.2 Ventricular tachycardia --> Ventricular tachycardia
10, ???? ---> Other","\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I47) Paroxysm~fcdx\(I47.1) Suprav~3yan\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I47) Paroxysm~fcdx\(I47.2) Ventri~uuqc\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I49) Other ca~4weu\(I49.1) Atrial~e9jp\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I49) Other ca~4weu\(I49.3) Ventri~reab\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I49) Other ca~4weu\(I49.8) Other~lrk3\
\i2b2\Diagnosis\10\(R00-R99) Symp~mt2x\(R00-R09) Symp~evaq\(R00) Abnormal~ieek\(R00.1) Bradyc~6wy6\",checkbox,Rhythm on ECG (choose all that apply),"1, Normal sinus rhythm | 2, Sinus bradycardia  | 3, Sinus tachycardia  | 4, Ectopic atrial rhythm (physiologic rates, excluding ectopic atrial tachycardia) | 5, Premature atrial beats | 6, Supraventricular tachycardia | 7, Junctional rhythm | 8, Premature ventricular beats | 9, Ventricular tachycardia  | 10, Other",,,,,,"[ekg_normal] = ""0""",Y,,,,,
ekg_svt,electrocardiogram,,Yes, , ,1,"ICD10:I48.3,ICD10:I48.4,ICD10:I48.92,ICD10:I48.0,ICD10:I48.1*,I48.2*,ICD10:I48.91,ICD10:I47.1","1, ???? --> Ectopic atrial tachycardia
2, I48.3 Typical atrial flutter; I48.4 Atypical atrial flutter;I48.92 Unspecified atrial flutter ---> Atrial flutter
3, I48.0 Paroxysmal atrial fibrillation; I48.1 Persistent atrial fibrillation;I48.2 Chronic atrial fibrillation; I48.91 Unspecified atrial fibrillation ---> Atrial fibrillation
4, I47.1 Supraventricular tachycardia --> Supraventricular tachycardia (narrow)
5, I47.1 Supraventricular tachycardia --> Supraventricular tachycardia (wide)","\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I47) Paroxysm~fcdx\(I47.1) Suprav~3yan\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I48) Atrial f~wiu4\(I48.0) Paroxy~hpbg\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I48) Atrial f~wiu4\(I48.3) Typica~0lnn\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I48) Atrial f~wiu4\(I48.4) Atypic~gpfz\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I48) Atrial f~wiu4\(I48.9) Unspec~x6gy\(I48.91) Unspe~7tjj\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I48) Atrial f~wiu4\(I48.9) Unspec~x6gy\(I48.92) Unspe~0t0w\",radio,"If SVT chosen, choose what type of SVT","1, Ectopic atrial tachycardia | 2, Atrial flutter | 3, Atrial fibrillation | 4, Supraventricular tachycardia (narrow) | 5, Supraventricular tachycardia (wide)",,,,,,"[ekg_rhythm(6)] = ""1""",Y,,,,,
ekg_rhythm_other,electrocardiogram,,,Notes,,,,,,text,"Other, please specify",,,,,,,"[ekg_rhythm(10)] = ""1""",Y,,,,,
ekg_heart_block,electrocardiogram,,,Notes,,,,,,radio,Evidence of Heart Block,"1, Yes | 0, No",,,,,,"[ekg_normal] = ""0""",Y,RH,,,,
ekg_heart_block_type,electrocardiogram,,Yes,, ,7,"ICD10:I44.0,ICD10:I44.1,ICD10:I44.2","1, I44.0 Atrioventricular block, first degree --> First degree atrioventricular block
2, I44.1 Atrioventricular block, second degree --> Second degree atrioventricular block, Type 1
3, I44.1 Atrioventricular block, second degree  --> Second degree atrioventricular block, Type 2
4, ??? --> High grade atrioventricular block
5, I44.2 Atrioventricular block, complete --> Third degree atrioventricular block","\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I44) Atrioven~pteh\(I44.0) Atriov~qmwi\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I44) Atrioven~pteh\(I44.1) Atriov~iy9c\
\i2b2\Diagnosis\10\(I00-I99) Dise~3w8h\(I30-I52) Othe~w6tz\(I44) Atrioven~pteh\(I44.2) Atriov~qcuo\",radio,"If Yes, what type","1, First degree atrioventricular block | 2, Second degree atrioventricular block, Type 1  | 3, Second degree atrioventricular block, Type 2  | 4, High grade atrioventricular block | 5, Third degree atrioventricular block",,,,,,"[ekg_heart_block] = ""1""",Y,,,,,
ekg_qrs,electrocardiogram,,,Notes,,,,,,radio,QRS axis for age,"1, Normal | 2, Rightward axis | 3, Leftward axis | 4, Northwest axis",,,,,,"[ekg_normal] = ""0""",Y,,,,,
ekg_qrs_degrees,electrocardiogram,,,Notes,,,,,,text,"If QRS axis is not normal for age, please specify the QRS axis in degrees (please use positive values only)",,"degrees, please use positive values only",number,0,,,"[ekg_qrs] = ""2"" or [ekg_qrs] = ""3"" or [ekg_qrs] = ""4""",Y,,,,,
ekg_intraven_delay,electrocardiogram,,,Notes,,,,,,radio,"Evidence of intraventricular conduction delay	","1, Yes | 0, No",,,,,,"[ekg_normal] = ""0""",Y,RH,,,,
ekg_intraven_type,electrocardiogram,,Yes,, ,1,"ICD10:I45.0,ICD10:I45.1*,ICD10:I44.7","1, I45.0 Right fascicular block; I45.1 Other and unspecified right bundle-branch block --> Incomplete right bundle branch block/RSR
2, I45.10 Unspecified right bundle-branch block --> Complete RBBB 
3, I44.7 Left bundle-branch block, unspecified --> Complete LBBB 
4, Non-specific intraventricular conduction delay",,radio,"If evidence of intraventricular conduction delay, please specify QRS pattern","1, Incomplete right bundle branch block/RSR | 2, Complete RBBB | 3, Complete LBBB | 4, Non-specific intraventricular conduction delay",,,,,,"[ekg_intraven_delay] = ""1""",Y,,,,,
ekg_enlarged,electrocardiogram,,,Notes,,,,,,radio,Evidence of enlarged chamber size or hypertrophy,"1, Yes | 0, No",,,,,,"[ekg_normal] = ""0""",Y,RH,,,,
ekg_enlarged_type,electrocardiogram,,,,I51.7 Cardiomegaly?,,,,,checkbox,"If Yes, there is evidence of (choose all that apply) ","1, Right ventricular hypertrophy | 2, Left ventricular hypertrophy | 3, Non-specific ventricular hypertrophy | 4, Right atrial enlargement | 5, Left atrial enlargement | 6, Non-specific atrial enlargement",,,,,,"[ekg_enlarged] = ""1""",Y,,,,,
ekg_qtc_normal,electrocardiogram,,,Notes,,,,,,radio,QTc interval normal for age,"1, Yes | 0, No",,,,,,"[ekg_normal] = ""0""",Y,RH,,,,
ekg_stt_wave_abnorm,electrocardiogram,,,Notes,,,,,,radio,Evidence ST-T waves anomalies,"1, Yes | 0, No",,,,,,"[ekg_normal] = ""0""",Y,RH,,,,
ekg_sst_wave_type,electrocardiogram,,, ,I21 Acute myocardial infarction? ,,,,,checkbox,"If evidence of ST-T wave anomalies, choose what they are (choose all that apply)","1, Non-specific ST segment changes  | 2, T wave inversion  | 3, Pericardial pattern (diffuse ST segment elevation) | 4, ST segment elevation (localized territory; suggestive myocardial infarction) | 5, ST segment depression",,,,,,"[ekg_stt_wave_abnorm] = ""1""",Y,,,,,
ekg_abnorm_other,electrocardiogram,,,Notes,,,,,,radio,Other abnormalities,"1, Yes | 0, No",,,,,,"[ekg_normal] = ""0""",Y,RH,,,,
ekg_abnorm_type,electrocardiogram,,,Notes,,,,,,checkbox,"If Yes, abnormalities include (choose all that apply)","1, Low voltages | 2, Ventricular pre-excitation | 3, Other",,,,,,"[ekg_abnorm_other] = ""1""",Y,,,,,
ekg_abnorm_type_oth,electrocardiogram,,,Notes,,,,,,Notes,"Other, please specify",,,,,,,"[ekg_abnorm_type(3)] = ""1""",Y,,,,,
cmri_na,cardiac_mri,,N/A,,,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[day_1_arm_1][elig] <> ""1""",,LV,,,,
cmri_yn,cardiac_mri,,Yes,,,1,"CPT4:75557,CPT4:75558,CPT4:75559,CPT4:75560,CPT4:75561,CPT4:75562,CPT4:75563,CPT4:75564,CPT4:75565","CPT4:75557	Cardiac magnetic resonance imaging for morphology and function without contrast material
CPT4:75558, Cardiac MRI for morphology/function w/o contrast materials; w/flow/velocity quantification 
CPT4:75559  Cardiac MRI for morphology and function with stress
CPT4:75560, Cardiac MRI for morphology/function w/o contrast materials; w/flow/velocity quantification & stress 
CPT4:75561	Cardiac magnetic resonance imaging for morphology and function without contrast material(s), followed by contrast material(s) and further sequences
CPT4:75562, Cardiac MRI for morphology/function w/o contrast materials; followed by contrast materials/further sequences, w/flow/velocity quantification
CPT4:75563	Cardiac magnetic resonance imaging for morphology and function without contrast material(s), followed by contrast material(s) and further sequences; with stress imaging 
CPT4:75564, Cardiac MRI for morphology/function w/o contrast materials; followed by contrast materials/further sequences, w/flow/velocity quantification & stress.
CPT4:75565  Cardiac MRI for Velocity Flow Mapping","\i2b2\Procedures\CPT\(70010-79999) Radiology\(70010-76499) Diagnostic Radiology (Diagnostic Imaging)\(75552-75556) Heart\(75557) Cardiac magnetic resonanc~\
\i2b2\Procedures\CPT\(70010-79999) Radiology\(70010-76499) Diagnostic Radiology (Diagnostic Imaging)\(75552-75556) Heart\(75561) Cardiac magnetic resonanc~\
\i2b2\Procedures\CPT\(70010-79999) Radiology\(70010-76499) Diagnostic Radiology (Diagnostic Imaging)\(75552-75556) Heart\(75562) Cardiac magnetic resonanc~\
\i2b2\Procedures\CPT\(70010-79999) Radiology\(70010-76499) Diagnostic Radiology (Diagnostic Imaging)\(75552-75556) Heart\(75563) Cardiac magnetic resonanc~\",radio,Was a cardiac MRI performed?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
cmri_date,cardiac_mri,,Yes,,,,,,,text,Date of cardiac MRI,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,3/1/20,,,"[cmri_yn] = ""1""",Y,,,,,
cmri_visit,cardiac_mri,,Yes,,,,,,,radio,Cardiac MRI obtained closest to the following visit:,"1, Day 1 | 2, Hospital discharge | 3, 2 Weeks Post Discharge | 4, 6 Weeks Post Discharge | 11, 3 Months Post Discharge | 5, 6 Months Post Discharge | 25, Hospital readmission within 6 months of initial hospital discharge | 6, Obtained 1 Year Post Discharge | 7, Obtained 2 Years Post Discharge |8, Obtained 3 Years Post Discharge |9, Obtained 4 Years Post Discharge |10, Obtained 5 Years Post Discharge",,,,,,"[cmri_yn] = ""1""",Y,,,,,
cmri_rsch_or_clin,cardiac_mri,,N/A,,,,,,,radio,Was the cardiac MRI obtained as part of research or clinical care?,"1, Research | 2, Clinical Care",,,,,,"[cmri_yn] = ""1""",Y,RH,,,,
cmri_contrast,cardiac_mri,,Yes,,check the above codes!,,,,,radio,Was contrast used? ,"1, Yes | 0, No | 99, Unknown",,,,,,"[cmri_yn] = ""1""",Y,RH,,,,
cmri_contrast_tm,cardiac_mri,,,,Needs a review ,,,,,text,Time of contrast administration (from MRI console),,HH:MM 24 hour clock,time,,,,"[cmri_contrast] = ""1""",Y,,,,,
cmri_sent,cardiac_mri,,,Notes,,,,,,radio,Was the cardiac MRI sent to the Core Lab?,"1, Yes | 0, No",,,,,,"[cmri_yn] = ""1""",Y,RH,,,,
cmri_sent_dt,cardiac_mri,,,Notes,,,,,,text,Date cardiac MRI sent to Core Lab,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,9/30/20,,,"[cmri_sent] = ""1""",Y,,,,,
cmri_reason_not_sent,cardiac_mri,,,Notes,,,,,,Notes,"If not sent, please explain why",,,,,,,"[cmri_sent] = ""0""",Y,,,,,
exerc_na,exercise_test,,N/A,,,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[day_1_arm_1][elig] <> ""1""",,LV,,,,
exerc_yn,exercise_test,,Yes,,,1,"CPT4:93015,CPT4:93016,CPT4:93017,CPT4:93018, CPT4:93350, CPT4:93351,CPT4:93352,CPT4:J0153","CPT4:93350	Echocardiography, transthoracic, real-time with image documentation (2D), with or without M-mode recording, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report
CPT4:93016	Cardiovascular stress test using maximal or submaximal treadmill or bicycle exercise, continuous electrocardiographic monitoring, and/or pharmacological stress; physician supervision only, without interpretation and report
CPT4:93017	Cardiovascular stress test using maximal or submaximal treadmill or bicycle exercise, continuous electrocardiographic monitoring, and/or pharmacological stress; tracing only, without interpretation and report
CPT4:93018	Cardiovascular stress test using maximal or submaximal treadmill or bicycle exercise, continuous electrocardiographic monitoring, and/or pharmacological stress; interpretation and report only
CPT4:93015	Cardiovascular stress test using maximal or submaximal treadmill or bicycle exercise, continuous electrocardiographic monitoring, and/or pharmacological stress; with physician supervision, with interpretation and report","\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93350) Echocardiography, transth~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93000-93278) Cardiography\(93016) Cardiovascular stress tes~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93000-93278) Cardiography\(93017) Cardiovascular stress tes~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93000-93278) Cardiography\(93018) Cardiovascular stress tes~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93000-93278) Cardiography\(93015) Cardiovascular stress tes~\",radio,Was an exercise test performed?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
